distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,SP98,cost
11.8,4.7,36,21.0,4,0,0,0,1,0.9866334000000001
16.6,5.1,56,21.0,7,0,0,0,1,1.5061014
12.4,5.7,37,21.0,7,0,0,0,1,1.2573972
15.9,5.4,25,21.0,7,0,0,0,1,1.5274494
5.1,8.7,21,23.5,5,0,0,0,1,0.7893422999999998
22.4,4.9,66,20.5,7,0,0,0,1,1.9526303999999997
31.1,4.7,42,20.5,7,0,0,0,1,2.6003643
4.9,6.3,27,20.5,3,0,0,0,1,0.5491773
11.8,5.1,26,23.0,4,0,1,0,1,1.0706022
22.9,6.0,42,23.0,4,0,1,0,1,2.4443459999999995
12.4,4.6,38,23.0,1,0,1,0,1,1.0147415999999998
12.9,5.8,40,23.0,4,0,0,0,1,1.3310478
11.8,5.1,43,23.0,0,0,0,0,1,1.0706022
12.2,5.8,58,23.0,2,0,0,0,1,1.2588204
24.8,4.6,55,23.0,3,0,0,0,1,2.0294831999999996
14.2,5.6,24,23.0,8,0,0,0,1,1.4146607999999998
11.8,4.6,38,23.0,0,0,1,0,1,0.9656411999999999
12.2,6.3,57,23.0,0,0,1,0,1,1.3673393999999999
24.7,5.5,56,25.0,1,0,0,0,1,2.4167715
6.8,4.3,46,24.0,2,0,0,0,1,0.5201796
17.3,5.6,37,21.5,1,0,0,0,1,1.7234952
11.8,4.3,44,21.5,-3,0,0,0,1,0.9026645999999999
15.9,5.7,46,21.5,5,0,0,0,1,1.6123077
5.1,6.4,39,21.5,4,0,0,0,1,0.5806656
16.1,4.5,33,21.5,6,0,0,0,1,1.2888855
11.8,4.5,43,21.5,3,0,0,0,1,0.944649
4.2,6.0,26,21.5,5,0,0,0,1,0.448308
17.4,5.1,30,21.5,5,0,0,0,1,1.5786845999999997
23.5,6.0,25,21.5,5,0,1,0,1,2.50839
11.8,4.5,38,21.5,5,0,1,0,1,0.944649
12.3,6.1,61,21.5,10,0,1,0,1,1.3347837
16.1,5.4,24,21.5,7,0,1,0,0,1.43451
11.8,4.3,40,21.5,10,0,1,0,0,0.8372099999999999
12.3,5.4,58,21.5,13,0,0,0,0,1.09593
12.4,4.3,49,21.5,17,0,0,0,0,0.87978
7.0,5.2,25,21.5,17,0,0,0,0,0.6006
11.8,4.1,37,21.5,10,0,0,0,0,0.7982699999999999
20.1,4.4,41,21.5,18,0,0,0,0,1.45926
20.8,4.5,45,21.5,10,0,0,0,0,1.5444
1.7,10.8,14,21.5,10,0,1,0,0,0.30294
35.9,4.7,45,21.5,12,0,0,0,0,2.784045
36.9,4.8,52,21.5,5,0,0,0,0,2.9224799999999997
16.8,4.0,46,21.5,8,0,0,0,0,1.1088
9.9,5.0,28,21.5,9,0,0,0,0,0.81675
22.9,4.6,61,21.5,7,0,1,0,0,1.7381099999999998
17.3,5.0,61,21.5,6,1,1,0,0,1.4272500000000001
11.8,4.3,37,21.5,7,0,0,0,0,0.8372099999999999
36.6,5.2,80,21.5,7,0,1,0,0,3.1402799999999997
44.9,4.7,62,21.5,8,0,0,0,0,3.481995
11.8,4.2,34,21.5,9,0,1,0,0,0.81774
21.6,5.3,44,21.5,9,0,1,0,0,1.88892
39.4,5.3,60,21.5,9,0,1,0,0,3.4455299999999993
5.1,8.1,39,21.5,4,0,0,0,0,0.6816149999999999
26.6,4.8,38,21.5,7,0,0,0,0,2.1067199999999997
53.2,5.1,71,21.5,2,0,0,0,0,4.47678
18.9,4.4,53,21.5,2,0,0,0,0,1.37214
43.5,5.0,80,21.5,3,0,0,0,0,3.5887499999999997
6.1,6.3,26,21.5,5,0,0,0,0,0.634095
16.4,4.8,49,21.5,5,0,0,0,0,1.2988799999999998
