speed,gas_type,AC,rain,sun,total_consumed,diff_temp
52,E10,0,0,0,177.11999999999998,16.5
46,E10,0,0,0,67.2,13.5
28,E10,0,0,0,49.5,12.5
61,E10,0,1,0,105.33999999999999,14.5
61,E10,1,1,0,86.5,15.5
37,E10,0,0,0,50.74,14.5
80,E10,0,1,0,190.32000000000002,14.5
62,E10,0,0,0,211.03,13.5
34,E10,0,1,0,49.56,12.5
44,E10,0,1,0,114.48,12.5
60,E10,0,1,0,208.82,12.5
39,E10,0,0,0,41.309999999999995,17.5
38,E10,0,0,0,127.68,14.5
71,E10,0,0,0,271.32,19.5
53,E10,0,0,0,83.16,19.5
80,E10,0,0,0,217.5,18.5
26,E10,0,0,0,38.43,16.5
49,E10,0,0,0,78.71999999999998,16.5
40,E10,0,0,0,75.03,15.5
36,E10,0,0,0,97.06,13.5
43,E10,0,0,0,101.28,14.5
55,E10,0,0,0,106.69,15.5
38,E10,0,0,0,213.11999999999998,13.5
51,E10,0,0,0,157.52,15.5
44,E10,0,0,0,57.82000000000001,21.5
42,E10,0,0,0,128.38,15.5
44,E10,0,0,0,178.64000000000001,18.0
38,E10,0,0,0,65.72,26.0
47,E10,0,0,0,74.72999999999999,24.0
75,E10,0,0,0,281.76,21.0
29,E10,0,0,0,84.24,21.0
50,E10,0,0,0,60.27000000000001,22.5
52,E10,1,1,0,87.33,22.5
51,E10,0,0,0,64.48,21.5
59,E10,0,0,0,149.46,19.5
55,E10,0,0,0,62.73,14.5
73,E10,0,0,0,258.0,10.5
44,E10,0,0,0,177.56,12.5
41,E10,0,0,0,59.04,15.5
69,E10,0,0,0,357.28000000000003,9.0
85,E10,0,0,0,599.38,10.0
67,E10,0,0,0,288.96,4.0
44,SP98,0,1,0,205.39000000000001,13.0
43,SP98,0,0,0,50.82,18.0
82,SP98,0,0,0,269.28,9.0
61,SP98,0,0,0,159.89999999999998,6.0
41,SP98,0,0,0,53.1,8.5
63,SP98,0,0,0,184.79999999999998,7.5
54,SP98,0,0,0,129.72,7.5
24,SP98,0,0,0,21.46,7.5
24,SP98,0,0,0,34.16,8.5
43,SP98,0,0,0,96.04000000000002,8.5
42,SP98,0,0,0,84.36,6.929521276595743
44,SP98,0,0,0,61.199999999999996,1.0
33,SP98,0,0,0,51.66,4.929521276595743
28,SP98,1,1,0,46.10999999999999,10.5
31,SP98,1,0,0,37.13,10.5
26,SP98,0,0,0,21.599999999999998,10.0
26,SP98,0,0,0,30.87,10.0
36,SP98,0,0,0,65.16000000000001,1.0
39,SP98,0,0,0,95.83,-1.0
21,SP98,0,0,0,14.950000000000001,10.0
22,SP98,0,0,0,70.5,8.0
