,distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,temp_difference
105,22.9,5.3,45,20.5,7,SP98,0,0,0,13.5
106,162.7,5.5,75,23.0,1,SP98,0,0,0,22.0
107,4.9,6.5,26,21.0,1,SP98,0,0,0,20.0
108,11.8,4.7,36,21.0,4,SP98,0,0,0,17.0
109,16.6,5.1,56,21.0,7,SP98,0,0,0,14.0
110,12.4,5.7,37,21.0,7,SP98,0,0,0,14.0
111,15.9,5.4,25,21.0,7,SP98,0,0,0,14.0
112,5.1,8.7,21,23.5,5,SP98,0,0,0,18.5
113,22.4,4.9,66,20.5,7,SP98,0,0,0,13.5
114,31.1,4.7,42,20.5,7,SP98,0,0,0,13.5
115,4.9,6.3,27,20.5,3,SP98,0,0,0,17.5
116,11.8,5.1,26,23.0,4,SP98,0,1,0,19.0
117,22.9,6.0,42,23.0,4,SP98,0,1,0,19.0
118,12.4,4.6,38,23.0,1,SP98,0,1,0,22.0
119,12.9,5.8,40,23.0,4,SP98,0,0,0,19.0
120,11.8,5.1,43,23.0,0,SP98,0,0,0,23.0
121,12.2,5.8,58,23.0,2,SP98,0,0,0,21.0
122,24.8,4.6,55,23.0,3,SP98,0,0,0,20.0
123,14.2,5.6,24,23.0,8,SP98,0,0,0,15.0
124,11.8,4.6,38,23.0,0,SP98,0,1,0,23.0
125,12.2,6.3,57,23.0,0,SP98,0,1,0,23.0
126,24.7,5.5,56,25.0,1,SP98,0,0,0,24.0
127,6.8,4.3,46,24.0,2,SP98,0,0,0,22.0
128,17.3,5.6,37,21.5,1,SP98,0,0,0,20.5
129,11.8,4.3,44,21.5,-3,SP98,0,0,0,24.5
130,15.9,5.7,46,21.5,5,SP98,0,0,0,16.5
131,5.1,6.4,39,21.5,4,SP98,0,0,0,17.5
132,16.1,4.5,33,21.5,6,SP98,0,0,0,15.5
133,11.8,4.5,43,21.5,3,SP98,0,0,0,18.5
134,4.2,6.0,26,21.5,5,SP98,0,0,0,16.5
135,17.4,5.1,30,21.5,5,SP98,0,0,0,16.5
136,23.5,6.0,25,21.5,5,SP98,0,1,0,16.5
137,11.8,4.5,38,21.5,5,SP98,0,1,0,16.5
138,12.3,6.1,61,21.5,10,SP98,0,1,0,11.5
139,16.1,5.4,24,21.5,7,E10,0,1,0,14.5
140,11.8,4.3,40,21.5,10,E10,0,1,0,11.5
141,12.3,5.4,58,21.5,13,E10,0,0,0,8.5
142,12.4,4.3,49,21.5,17,E10,0,0,0,4.5
143,7.0,5.2,25,21.5,17,E10,0,0,0,4.5
144,11.8,4.1,37,21.5,10,E10,0,0,0,11.5
145,20.1,4.4,41,21.5,18,E10,0,0,0,3.5
146,20.8,4.5,45,21.5,10,E10,0,0,0,11.5
147,1.7,10.8,14,21.5,10,E10,0,1,0,11.5
148,35.9,4.7,45,21.5,12,E10,0,0,0,9.5
149,36.9,4.8,52,21.5,5,E10,0,0,0,16.5
150,16.8,4.0,46,21.5,8,E10,0,0,0,13.5
151,9.9,5.0,28,21.5,9,E10,0,0,0,12.5
152,22.9,4.6,61,21.5,7,E10,0,1,0,14.5
153,17.3,5.0,61,21.5,6,E10,1,1,0,15.5
154,11.8,4.3,37,21.5,7,E10,0,0,0,14.5
155,36.6,5.2,80,21.5,7,E10,0,1,0,14.5
156,44.9,4.7,62,21.5,8,E10,0,0,0,13.5
157,11.8,4.2,34,21.5,9,E10,0,1,0,12.5
158,21.6,5.3,44,21.5,9,E10,0,1,0,12.5
159,39.4,5.3,60,21.5,9,E10,0,1,0,12.5
160,5.1,8.1,39,21.5,4,E10,0,0,0,17.5
161,26.6,4.8,38,21.5,7,E10,0,0,0,14.5
162,53.2,5.1,71,21.5,2,E10,0,0,0,19.5
163,18.9,4.4,53,21.5,2,E10,0,0,0,19.5
164,43.5,5.0,80,21.5,3,E10,0,0,0,18.5
165,6.1,6.3,26,21.5,5,E10,0,0,0,16.5
166,16.4,4.8,49,21.5,5,E10,0,0,0,16.5
167,12.3,6.1,40,21.5,6,E10,0,0,0,15.5
168,21.1,4.6,36,21.5,8,E10,0,0,0,13.5
169,21.1,4.8,43,21.5,7,E10,0,0,0,14.5
170,22.7,4.7,55,21.5,6,E10,0,0,0,15.5
171,44.4,4.8,38,21.5,8,E10,0,0,0,13.5
172,35.8,4.4,51,21.5,6,E10,0,0,0,15.5
173,11.8,4.9,44,21.5,0,E10,0,0,0,21.5
174,26.2,4.9,42,21.5,6,E10,0,0,0,15.5
175,40.6,4.4,44,21.0,3,E10,0,0,0,18.0
176,12.4,5.3,38,21.0,-5,E10,0,0,0,26.0
177,14.1,5.3,47,21.0,-3,E10,0,0,0,24.0
178,58.7,4.8,75,21.0,0,E10,0,0,0,21.0
179,16.2,5.2,29,21.0,0,E10,0,0,0,21.0
