distance,consume,speed,speed_level,temp_inside,temp_outside,temp_level,gas_type,ac,rain,sun
11.8,5.3,52,Mid,22.0,11,Mid,SP98,0,0,0
12.5,4.2,57,Mid,20.0,11,Mid,SP98,0,0,0
15.7,5.3,33,Mid,22.0,9,Cold,SP98,0,0,0
12.9,5.7,35,Mid,22.0,9,Cold,SP98,0,0,0
6.4,4.4,37,Mid,22.0,10,Cold,SP98,0,0,0
5.3,4.1,34,Mid,22.0,9,Cold,SP98,0,0,0
26.2,5.8,71,High,21.0,8,Cold,SP98,1,1,0
18.8,5.0,62,Mid,22.0,9,Cold,SP98,0,1,0
4.9,6.9,25,Low,21.0,12,Mid,SP98,0,1,0
12.4,5.4,18,Low,21.0,11,Mid,SP98,1,1,0
22.9,5.3,45,Mid,20.5,7,Cold,SP98,0,0,0
162.7,5.5,75,High,23.0,1,Cold,SP98,0,0,0
4.9,6.5,26,Low,21.0,1,Cold,SP98,0,0,0
11.8,4.7,36,Mid,21.0,4,Cold,SP98,0,0,0
16.6,5.1,56,Mid,21.0,7,Cold,SP98,0,0,0
12.4,5.7,37,Mid,21.0,7,Cold,SP98,0,0,0
15.9,5.4,25,Low,21.0,7,Cold,SP98,0,0,0
5.1,8.7,21,Low,23.5,5,Cold,SP98,0,0,0
22.4,4.9,66,Mid,20.5,7,Cold,SP98,0,0,0
31.1,4.7,42,Mid,20.5,7,Cold,SP98,0,0,0
4.9,6.3,27,Low,20.5,3,Cold,SP98,0,0,0
11.8,5.1,26,Low,23.0,4,Cold,SP98,0,1,0
22.9,6.0,42,Mid,23.0,4,Cold,SP98,0,1,0
12.4,4.6,38,Mid,23.0,1,Cold,SP98,0,1,0
12.9,5.8,40,Mid,23.0,4,Cold,SP98,0,0,0
11.8,5.1,43,Mid,23.0,0,Cold,SP98,0,0,0
12.2,5.8,58,Mid,23.0,2,Cold,SP98,0,0,0
24.8,4.6,55,Mid,23.0,3,Cold,SP98,0,0,0
14.2,5.6,24,Low,23.0,8,Cold,SP98,0,0,0
11.8,4.6,38,Mid,23.0,0,Cold,SP98,0,1,0
12.2,6.3,57,Mid,23.0,0,Cold,SP98,0,1,0
24.7,5.5,56,Mid,25.0,1,Cold,SP98,0,0,0
6.8,4.3,46,Mid,24.0,2,Cold,SP98,0,0,0
17.3,5.6,37,Mid,21.5,1,Cold,SP98,0,0,0
