distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,refill_liters,specials,gas_type,refill_gas,fuel_price_liter,fuel_consume_km,trip_cost,cost_km
2.0,9.9,21,21.5,4,0,0,0,0.0,other,SP98,SP98,1.46,0.198,0.039204,0.019602
14.2,5.1,32,21.5,7,0,0,0,0.0,other,SP98,SP98,1.46,0.7241999999999998,0.5244656399999997,0.036934199999999986
16.0,4.9,25,21.5,8,0,0,0,0.0,other,SP98,SP98,1.46,0.784,0.6146560000000001,0.038416000000000006
11.8,4.9,25,21.5,11,0,0,0,0.0,other,SP98,SP98,1.46,0.5782,0.33431524000000007,0.028331800000000004
27.3,4.7,36,21.5,10,0,0,0,0.0,other,SP98,SP98,1.46,1.2831000000000001,1.6463456100000002,0.060305700000000004
11.8,5.1,29,21.5,5,0,1,0,0.0,rain,SP98,SP98,1.46,0.6018,0.36216324,0.030691799999999998
10.6,4.9,63,21.5,6,0,0,0,0.0,other,SP98,SP98,1.46,0.5194000000000001,0.2697763600000001,0.02545060000000001
11.6,4.2,61,21.5,7,0,0,0,0.0,other,SP98,SP98,1.46,0.48719999999999997,0.23736383999999996,0.0204624
13.1,6.1,46,21.5,6,0,1,0,0.0,rain,SP98,SP98,1.46,0.7990999999999999,0.6385608099999999,0.04874509999999999
6.1,6.4,28,21.5,8,0,0,0,0.0,other,SP98,SP98,1.46,0.39039999999999997,0.15241215999999996,0.024985599999999997
153.5,4.9,82,21.5,3,0,1,0,0.0,rain,SP98,SP98,1.46,7.5215000000000005,56.57296225000001,0.3685535000000001
11.8,4.9,24,21.5,7,0,0,0,0.0,other,SP98,SP98,1.46,0.5782,0.33431524000000007,0.028331800000000004
12.3,6.2,61,21.5,8,0,0,0,0.0,other,SP98,SP98,1.46,0.7626000000000001,0.5815587600000001,0.0472812
12.4,4.2,57,21.5,8,0,0,0,0.0,other,SP98,SP98,1.46,0.5208,0.27123264,0.0218736
12.3,5.7,52,21.5,8,0,1,0,0.0,rain,SP98,SP98,1.46,0.7011,0.49154120999999995,0.0399627
2.9,7.9,18,21.5,9,1,1,0,0.0,AC rain,SP98,SP98,1.46,0.2291,0.05248681,0.0180989
2.1,12.2,23,21.5,9,1,1,0,0.0,other,SP98,SP98,1.46,0.2562,0.06563843999999999,0.0312564
9.8,5.8,24,21.5,6,0,0,0,0.0,other,SP98,SP98,1.46,0.5684,0.32307856,0.0329672
6.8,5.3,26,21.5,6,0,0,0,0.0,other,SP98,SP98,1.46,0.3604,0.12988816,0.019101200000000002
12.4,5.4,24,21.5,7,0,0,0,0.0,other,SP98,SP98,1.46,0.6696000000000001,0.4483641600000001,0.03615840000000001
12.4,4.7,57,21.5,8,0,0,0,0.0,other,SP98,SP98,1.46,0.5828,0.33965584,0.0273916
11.8,4.6,41,21.5,6,0,0,0,0.0,other,SP98,SP98,1.46,0.5428000000000001,0.2946318400000001,0.024968800000000006
12.3,5.4,55,21.5,8,0,0,0,0.0,other,SP98,SP98,1.46,0.6642,0.44116164,0.0358668
14.0,4.3,40,21.5,8,0,0,0,0.0,other,SP98,SP98,1.46,0.602,0.36240399999999995,0.025885999999999996
11.8,4.5,37,21.5,4,1,0,0,0.0,AC,SP98,SP98,1.46,0.531,0.281961,0.023895
12.3,5.2,55,21.5,12,0,0,0,0.0,other,SP98,SP98,1.46,0.6396000000000001,0.4090881600000001,0.0332592
2.0,6.2,20,21.5,10,0,0,0,0.0,other,SP98,SP98,1.46,0.124,0.015375999999999999,0.0076879999999999995
13.9,5.1,29,21.5,6,0,0,0,0.0,other,SP98,SP98,1.46,0.7089,0.50253921,0.0361539
9.7,3.9,42,21.5,8,0,0,0,0.0,other,SP98,SP98,1.46,0.37829999999999997,0.14311089,0.0147537
11.6,5.0,25,21.5,6,0,0,0,0.0,other,SP98,SP98,1.46,0.58,0.3364,0.028999999999999998
14.2,5.4,38,21.5,7,0,0,0,0.0,other,SP98,SP98,1.46,0.7668,0.5879822400000001,0.04140720000000001
11.8,4.5,39,21.5,6,0,0,0,0.0,other,SP98,SP98,1.46,0.531,0.281961,0.023895
24.8,5.1,50,21.5,9,0,0,0,0.0,other,SP98,SP98,1.46,1.2648,1.5997190399999999,0.06450479999999999
12.4,4.7,56,21.5,7,0,0,0,0.0,other,SP98,SP98,1.46,0.5828,0.33965584,0.0273916
34.8,4.0,28,20.0,4,0,0,0,0.0,other,SP98,SP98,1.46,1.392,1.9376639999999998,0.05568
14.2,5.4,36,20.0,6,0,0,0,0.0,other,SP98,SP98,1.46,0.7668,0.5879822400000001,0.04140720000000001
5.2,4.5,39,20.0,10,0,0,0,0.0,other,SP98,SP98,1.46,0.234,0.054756000000000006,0.010530000000000001
10.5,3.6,42,20.0,10,0,0,0,37.7,other,SP98,SP98,1.46,0.37800000000000006,0.14288400000000004,0.013608000000000004
12.3,5.2,57,20.0,10,0,0,0,0.0,other,SP98,SP98,1.46,0.6396000000000001,0.4090881600000001,0.0332592
11.8,4.9,25,20.0,11,0,0,0,0.0,other,SP98,SP98,1.46,0.5782,0.33431524000000007,0.028331800000000004
12.3,6.2,58,20.0,11,0,1,0,0.0,rain,SP98,SP98,1.46,0.7626000000000001,0.5815587600000001,0.0472812
13.2,4.3,51,20.0,11,0,1,0,0.0,rain,SP98,SP98,1.46,0.5676,0.32216975999999997,0.0244068
13.0,5.0,45,20.0,11,0,1,0,0.0,rain,SP98,SP98,1.46,0.65,0.42250000000000004,0.0325
12.9,5.1,32,20.0,11,0,0,0,0.0,other,SP98,SP98,1.46,0.6578999999999999,0.4328324099999999,0.03355289999999999
13.9,5.6,22,20.0,8,0,0,0,0.0,other,SP98,SP98,1.46,0.7784,0.60590656,0.043590399999999994
11.8,4.3,37,20.0,6,0,0,0,0.0,other,SP98,SP98,1.46,0.5074000000000001,0.25745476000000006,0.021818200000000003
12.2,5.8,60,20.0,11,0,0,0,0.0,other,SP98,SP98,1.46,0.7075999999999999,0.5006977599999999,0.041040799999999995
