distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,refill_liters,specials_AC rain,specials_AC snow,specials_AC sun,specials_other,specials_rain,specials_rain+sun,specials_snow,specials_sun,gas_type_SP98,refill_gas_SP98,refill_gas_no
12.4,5.4,24,21.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.4,4.7,57,21.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,4.6,41,21.5,6,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.3,5.4,55,21.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
14.0,4.3,40,21.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,4.5,37,21.5,4,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1
12.3,5.2,55,21.5,12,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
2.0,6.2,20,21.5,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
13.9,5.1,29,21.5,6,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
9.7,3.9,42,21.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.6,5.0,25,21.5,6,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
14.2,5.4,38,21.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,4.5,39,21.5,6,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
24.8,5.1,50,21.5,9,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.4,4.7,56,21.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
34.8,4.0,28,20.0,4,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
14.2,5.4,36,20.0,6,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
5.2,4.5,39,20.0,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
10.5,3.6,42,20.0,10,0,0,0,37.7,0,0,0,1,0,0,0,0,1,1,0
12.3,5.2,57,20.0,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,4.9,25,20.0,11,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.3,6.2,58,20.0,11,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
13.2,4.3,51,20.0,11,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
13.0,5.0,45,20.0,11,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
12.9,5.1,32,20.0,11,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
13.9,5.6,22,20.0,8,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,4.3,37,20.0,6,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.2,5.8,60,20.0,11,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.5,4.0,51,20.0,13,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.4,4.7,43,21.93,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,5.9,21,20.0,9,1,1,0,0.0,1,0,0,0,0,0,0,0,1,0,1
11.8,5.3,52,21.93,11,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.5,4.2,57,20.0,11,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
15.7,5.3,33,21.93,9,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.9,5.7,35,21.93,9,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
6.4,4.4,37,21.93,10,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
5.3,4.1,34,21.93,9,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
26.2,5.8,71,21.0,8,1,1,0,0.0,1,0,0,0,0,0,0,0,1,0,1
18.8,5.0,62,21.93,9,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
4.9,6.9,25,21.0,12,0,1,0,0.0,0,0,0,0,1,0,0,0,1,0,1
12.4,5.4,18,21.0,11,1,1,0,0.0,1,0,0,0,0,0,0,0,1,0,1
22.9,5.3,45,20.5,7,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
162.7,5.5,75,23.0,1,0,0,0,45.0,0,0,0,1,0,0,0,0,1,1,0
4.9,6.5,26,21.0,1,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
11.8,4.7,36,21.0,4,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
16.6,5.1,56,21.0,7,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
12.4,5.7,37,21.0,7,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,1
