distance;consume;speed;temp_inside;temp_outside;gas_type;ac;rain;sun;consumtion_per_trip;price_per_trip;price_per_km;consumption_per_km
12,3;6,2;61;21,5;8;SP98;0;0;0;0,7626000000000001;1,113396;0,09052;0,062
12,4;4,2;57;21,5;8;SP98;0;0;0;0,5208;0,760368;0,06132;0,042
12,3;5,7;52;21,5;8;SP98;0;1;0;0,7011;1,0236059999999998;0,08321999999999997;0,056999999999999995
2,9;7,9;18;21,5;9;SP98;1;1;0;0,2291;0,334486;0,11534000000000001;0,079
2,1;12,2;23;21,5;9;SP98;1;1;0;0,2562;0,37405199999999994;0,17811999999999997;0,12199999999999998
9,8;5,8;24;21,5;6;SP98;0;0;0;0,5684;0,829864;0,08468;0,057999999999999996
6,8;5,3;26;21,5;6;SP98;0;0;0;0,3604;0,526184;0,07738;0,053
12,4;5,4;24;21,5;7;SP98;0;0;0;0,6696000000000001;0,9776160000000002;0,07884000000000001;0,054000000000000006
12,4;4,7;57;21,5;8;SP98;0;0;0;0,5828;0,850888;0,06862;0,047
11,8;4,6;41;21,5;6;SP98;0;0;0;0,5428000000000001;0,7924880000000001;0,06716;0,046
12,3;5,4;55;21,5;8;SP98;0;0;0;0,6642;0,969732;0,07884;0,054
14,0;4,3;40;21,5;8;SP98;0;0;0;0,602;0,8789199999999999;0,06277999999999999;0,043
11,8;4,5;37;21,5;4;SP98;1;0;0;0,531;0,7752600000000001;0,0657;0,045
12,3;5,2;55;21,5;12;SP98;0;0;0;0,6396000000000001;0,9338160000000001;0,07592;0,052000000000000005
2,0;6,2;20;21,5;10;SP98;0;0;0;0,124;0,18104;0,09052;0,062
13,9;5,1;29;21,5;6;SP98;0;0;0;0,7089;1,034994;0,07446;0,051
9,7;3,9;42;21,5;8;SP98;0;0;0;0,37829999999999997;0,552318;0,056940000000000004;0,039
11,6;5,0;25;21,5;6;SP98;0;0;0;0,58;0,8467999999999999;0,073;0,049999999999999996
14,2;5,4;38;21,5;7;SP98;0;0;0;0,7668;1,119528;0,07884000000000001;0,054000000000000006
11,8;4,5;39;21,5;6;SP98;0;0;0;0,531;0,7752600000000001;0,0657;0,045
24,8;5,1;50;21,5;9;SP98;0;0;0;1,2648;1,8466079999999998;0,07445999999999998;0,051
12,4;4,7;56;21,5;7;SP98;0;0;0;0,5828;0,850888;0,06862;0,047
34,8;4,0;28;20,0;4;SP98;0;0;0;1,392;2,03232;0,0584;0,04
14,2;5,4;36;20,0;6;SP98;0;0;0;0,7668;1,119528;0,07884000000000001;0,054000000000000006
