,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun
305,21.1,5.1,33,22.0,10,SP98,0,1,0
306,16.0,3.9,40,22.0,10,SP98,0,0,0
307,11.9,5.3,34,22.0,13,SP98,0,0,0
308,10.1,4.2,35,22.0,16,SP98,0,0,0
309,31.9,4.3,33,22.0,16,SP98,0,0,0
310,18.7,4.0,60,22.0,13,SP98,0,0,0
311,10.8,4.7,48,22.0,17,SP98,0,0,1
312,19.8,4.0,56,22.0,17,SP98,0,0,1
313,11.3,4.3,38,22.0,17,SP98,0,0,0
314,11.5,5.3,53,22.0,15,SP98,0,0,0
315,21.4,5.2,51,22.0,13,SP98,0,0,0
316,32.0,4.9,53,22.0,15,SP98,0,0,0
317,41.9,4.7,53,22.0,14,SP98,0,0,0
318,211.0,4.6,80,22.0,20,SP98,0,0,0
319,216.1,5.3,90,22.0,21,SP98,0,0,1
320,25.5,3.6,27,22.0,27,SP98,0,0,1
321,16.6,4.2,52,22.0,15,SP98,0,1,0
322,25.9,4.1,43,22.0,24,SP98,0,0,0
323,16.5,4.0,48,22.0,15,SP98,0,0,0
324,22.1,3.9,29,22.0,26,SP98,0,0,0
325,16.6,3.7,49,22.0,17,E10,0,0,0
326,15.4,4.5,43,22.0,24,E10,0,0,0
327,16.5,3.9,43,22.0,17,E10,0,0,0
328,15.4,5.1,21,22.0,24,E10,0,0,0
329,18.4,4.2,59,22.0,24,E10,0,0,0
330,39.5,4.2,58,22.0,25,E10,0,0,0
331,21.5,4.8,47,25.0,27,E10,1,0,1
332,4.8,4.7,26,25.0,18,E10,0,0,0
333,100.9,4.7,87,23.5,22,E10,0,0,0
334,129.7,4.6,58,24.0,21,E10,0,0,0
335,16.6,3.8,43,21.5,16,E10,0,0,0
336,15.4,4.2,50,21.5,21,E10,0,0,0
337,16.0,3.7,45,22.0,17,E10,0,0,0
338,16.0,4.2,41,22.0,15,E10,0,0,0
339,15.4,4.1,45,22.0,24,E10,0,0,0
340,16.0,4.0,43,22.0,16,E10,0,0,0
341,21.0,3.8,37,22.0,21,E10,0,0,0
342,15.4,3.8,47,22.0,24,E10,0,0,0
343,16.0,3.8,42,22.0,17,E10,0,0,0
344,16.1,5.1,30,25.0,16,E10,1,1,0
345,16.0,4.0,42,22.0,15,E10,0,0,0
346,15.4,4.8,40,22.0,18,E10,0,0,0
347,17.2,3.9,35,22.0,16,E10,0,0,0
348,16.6,4.6,50,22.0,25,E10,0,0,0
349,18.3,4.3,46,22.0,16,SP98,0,0,0
350,16.1,4.8,36,22.0,18,SP98,0,1,0
351,16.0,4.1,46,22.0,17,SP98,0,0,0
352,16.3,4.0,35,22.0,23,SP98,0,0,0
353,16.0,3.7,44,22.0,16,SP98,0,0,0
354,18.3,4.3,46,22.0,23,SP98,0,0,0
355,4.5,5.2,23,22.0,23,SP98,0,0,1
356,17.0,4.2,48,22.0,16,SP98,0,0,0
357,6.1,5.0,35,24.5,18,SP98,0,0,0
358,6.1,5.0,33,22.0,24,SP98,0,0,1
359,17.3,4.2,36,22.0,22,SP98,0,0,0
360,6.0,4.8,27,22.0,17,SP98,0,0,0
361,16.0,4.1,45,22.0,15,SP98,0,0,0
362,15.4,4.9,55,22.0,18,SP98,0,0,0
363,15.4,4.3,39,22.0,23,SP98,0,0,0
364,16.0,3.9,35,22.0,18,SP98,0,0,0
365,15.4,4.5,52,22.0,26,SP98,0,0,0
366,16.6,4.1,48,25.5,30,SP98,1,0,1
367,15.4,5.0,48,25.5,31,SP98,1,0,0
368,16.0,4.0,43,22.0,21,SP98,1,0,0
369,15.4,4.5,42,22.0,30,SP98,0,0,0
370,16.0,3.6,43,22.0,19,SP98,0,0,0
371,20.9,4.1,33,22.0,21,SP98,0,0,0
372,32.1,3.9,47,22.0,26,SP98,0,0,0
373,15.3,6.6,16,24.0,27,SP98,1,0,0
374,28.5,4.0,44,25.0,23,SP98,1,0,0
375,11.9,3.7,33,25.0,19,SP98,0,0,0
376,14.5,4.3,36,25.0,22,SP98,0,0,0
377,16.6,4.1,49,22.0,26,SP98,0,0,1
378,16.2,4.4,39,24.5,17,SP98,1,0,0
379,16.7,3.8,44,24.5,23,SP98,0,0,1
380,8.3,5.0,52,24.5,27,SP98,0,0,0
381,5.5,3.7,33,24.5,28,SP98,0,0,1
382,13.6,3.7,33,24.5,28,SP98,0,0,1
383,16.0,3.7,39,24.5,18,SP98,0,0,0
384,16.1,4.3,38,25.0,31,SP98,1,0,0
385,16.0,3.8,45,25.0,19,SP98,0,0,0
386,15.4,4.6,42,25.0,31,SP98,1,0,0
387,14.7,5.0,25,25.0,30,SP98,1,0,0
